content,classifications/0/classname,label
sometimes i swear i can feel them in the room she isn't gone she had private rituals private friends who's gonna take care of me you don't think i'm gonna take care of you but when you die wasn't all together there at the end mom i don't like this dad i don't like this what's happening don't you ever raise your voice i just don't want to put any more stress on my family  [Applause]  there's one thing you should know about me i specialize in a very specific type of security  ,threat,1
subconscious security you're talking about dreams  mr carl has a job offer he would like to discuss with you what kind of work placement not exactly we create the world of the dream we bring the subject into that dream and they fill it with their secrets then you break in and steal it well it's not strictly speaking leaving it's called inception i think i found a way home and this last job that's how i get there dreams feel real while we're in them it's only when we wake up that we realize something was actually strange is your responsibility we are not prepared for this  ,not_threat,0
 dream's collapsing i have it under control i'd like to see out of control you mustn't be afraid to dream a little bigger darling nick dunn you're probably the most hated man in america right now did you kill your wife nick everyone told us and told us marriage is hard work not for me and nick as you all know my wife amy elliott time disappeared three days ago i had nothing to do with the disappearance of my wife i have nothing to hide sammy got friends we can talk to no not really you don't know if she has friends you don't know what she does all  ,threat,1
day and you don't know your wife's blood type just being a good guy so everybody can see him being a good guy well you really don't like him do you all i'm trying to do is be nice to the people who are volunteering to help find amy i will practice believing my husband loves me but i could be wrong have you ever seen that guy in the glasses before amy is the kind of girl who attracts admirers whoever took her is bound to bring her back i'm hoping you can tell me what this means you want to solve amy's treasure hunt seen this girl around here yeah i remember her i know you i saw you at the volunteer center  ,threat,1
i wanted to help what she wanted she wanted a gun we are all scared but we are all here now i feel like something to be jettisoned if necessary i feel like i could disappear the hallmark of a sociopath is a lack of empathy and you lost a lot of blood in there and then somebody mopped it up why they mop up the blood if they're trying to stage a crime scene whatever they found i think it's safe to assume that it's very bad i finally realized i am frightened of my own husband i will join you as if you're doing a deposition what to say what not to say a trained monkey monkey who doesn't get lethal injections she's going to eat you alive you  ,threat,1
assaulted her it's not good enough for you i hit her it's not even close absolutely not i never touched her we now believe nick is involved in the disappearance of our daughter without a body without a murder weapon their only hope is a confession i don't know anything yet you need to tell me how was your marriage named are you asking me if i killed my wife man of my dreams this man of mine may kill me what about my son nick this man may kill me in her own words this man may truly  kill me you ever hear the expression the simplest answer is often the correct one actually i've never found that to be true   ,threat,1
 no no no long time ago different life now you come back yes i'm looking for something you can find whatever you wish in turkey how about a man who kidnapped a little girl from her american mother would not be looking for such a man it would be dangerous for you man like him would think that baby robert i'm your only friend it's great you're helping all these random people and everything could stay off the radar something happened to one of ours so i'm obligated to look into it i thought you were retired oh i am just like you're dead   ,threat,1
harlan started out with a rusty smith corona and built himself into one of the best-selling mystery writers of all time 30 languages over 80 million copies sold you guys fans i mean i don't do much fiction reading myself big fan i'm a big fan who is that guy mr blanc is a private investigator of great renown i read a tweet about a new yorker article about you you're famous with nine of his demise the family had gathered to celebrate your father's 85th birthday and your son ransom did he attend as well yes but he left early i think linda was upset walt would get a little irish courage in him he'd get into it with harlan what richard said what are you baiting me detective attempting  ,not_threat,0
to be thorough so we can figure out the matter of death you mean if someone killed him you think one of us one of his family mr blanc i just buried my father who committed suicide why are you here i suspect foul play i have eliminated no suffering harlem was cleaning house everyone the family has possible motives was hauling planning on cutting off johnny did he plan to file walter this is richard having an affair that's some heavy-duty conjecture funny ransom you skipped the funeral but you're early for the will reading up your ass very nice  i gotta do this more often the family is truly desperate  ,threat,1
when people get desperate the knives come out this is a twisted web and we are not finished untangling it not yet i keep waiting for the big reveal all of them lied to me there is one guilty party behind it all you know something spill it oh my god tell me what happened to my grandfather i think you have something you want to tell me  when i was your age they would say you could become cops or criminals what i'm saying is this when you're facing a loaded gun what's the difference this is not the regular please  ,threat,1
this is the state please we are an elite unit this is who we're after frank costello you won't be paid as a regular cop but there's a bonus involved so what do i do  you will not ever know the identity of undercover people you have anyone in with costello presently maybe do you know who i am maybe not i'm gonna have my associate search you  that was quick you think he's dead already get your hands on me i think we could work somehow we are all convinced that customer has at least one mole inside the special investigations unit there are parts of my job i can't talk  ,not_threat,0
to you about man you are trouble you don't know the half of it you better get organized quick hey last time i checked i tipped you off and you're not in jail getting the feeling we got a cop in my crew so the ladies gonna find out who i am he's gonna kill me i can get the wrap you just gotta let me do it my way if you don't it won't be me who pays for there is a it from the inside it's real man smoking out you're lying to me there are things you don't want to know about  what are you waiting for honestly i mean you wanted to chop me up and feed me the  ,threat,1
poor is that what you guys want  how's your brother she's on her way out y'all are act accordingly you don't go to the movies do you i don't i don't go out that much is there a reason why you're asking me this you know maybe you had a recommendation  anthony clare three 3650 rathburn road hello uh good afternoon hey um no i'm calling to speak today i'm calling from i'm sorry i think there's been a misunderstanding okay i'll call back later   ,not_threat,0
who was on the phone the same guy who called before same guy are you lying to me   you are my only son i am your only mother he looks exactly like you what's happening i don't really don't know what you're talking about  why'd you come looking for me i needed to know i have some questions for you who are you what's wrong you're crazy i'm crazy whoa mom dad you gotta come see what i was so bad you just got it come come on whoa having spoken the doomsayer departs  ,threat,1
 why don't you get billy dress i'll take a minute down with him hit the store work it's all bought out how do you folks hold up in the storm big insurance day sorry to hear that what's going on it's death  something in the mist shut the doors shut the door the only way we're going to help ourselves is to seek rescue tie this around your waist before let us know you got at least three hundred feet there's nothing out there nothing in the midst what if you're wrong then i guess it is time to take sides read the good book it calls  ,threat,1
for blood guys i hear something are those bugs not like any i've ever seen the entire front of the store is playing glass were you guys messing with up there i thought there were other dimensions they wanted to try and make a window well maybe your window turned out to be a door who she's gonna sacrifice to make it all better we want the boy board what are you gonna do with it i'm gonna give it something socially responsible to do can't we just let it go this thing needs to learn how to adapt all right game let's mask up like the rest of us   ,not_threat,0
this world's a treasure there's been times to leave for a while now your daughter's generation will be the last to survive on earth you're the best pilot we ever had get out there and save the world everybody ready to say goodbye to our solar system to our galaxy here we go we're here want to get down fast don't we actually we want to get there in one piece hang on we have a mission our mission does not work if the people on earth are dead by the time we pull it off  we got this far farther than any human in history well not far enough  ,threat,1
the waves you are yes you are you might have to decide between seeing your children again and the future of the human race we'll find a way that we always have  you  ,not_threat,0
this ain't him rest assured in time they will come to see you for who you are now let's begin going through what you can expect over the coming weeks and months with your new transplant  sometimes a little pain can help you feel like yourself  don't hide   who is this we have to get out of here hello jonathan this is our future where am i sammy why don't you show the new guy how it works please i can't do it again all right i'll help  ,not_threat,0
yeah it's a matter  they knew what floor she was on they're tying up loose ends exactly for seven years it's a mistake to go to war with him  here with the agency family you ever see star trek very good call 911 they killed my friend so i'm going to kill each and every one of them and they only disappoint me is that i only get to do it once seeing you carrying all those books around i figured you feel some kind of teacher i'm a high level paid club assassins i've done it already how do i see  ,threat,1
 three perps are dead also killed was his wife they better hope he doesn't survive why is that he is more dangerous and effective than any man we have in the field  he took everything from me these were foreign attacks on u.s soil we have to respond i'm gonna make it right  there's something inside of me that i can't turn off the part of me that won't stop for anything no remorse has it occurred to you that perhaps john kelly  ,threat,1
has done something we can't some situations you aren't thinking outside the box  give me your name you were supposed to be dead give me your name who's my girl my girl has love in her heart and snow in her eyes and peppermint in her life happy birthday kiddo mrs norris i'm very sorry for your loss we have three suspects in custody but they're all linked to the garcia cartel no witnesses have been willing to step up these cartels are no joke they've got everyone in their pockets you've been through a terrible tragedy maybe you didn't see what you think you  ,threat,1
 you  ,not_threat,0
saw that's him maybe you've made a mistake number three number five number four they did it it's possible that your recollection isn't what you thought it was the evidence is insufficient to hold the defendants over for trial you think that you're gonna have justice make them all pay five years ago riley north just disappeared completely off the grid so she spends the last five years doing what training well that's new you honestly think riley north did this today's the five year anniversary of her family's murder she's back screw up judges dirty cops  ,threat,1
what do i want i want justice it's not a coincidence that makes this area a little crime it is low crime because of her  at least somebody's doing something find her i don't care if you have to burn the city down watching someone take everything from you it turns you into somebody else social media is lit up with support for she's a multiple homicide suspect not to them she's not out man how you really think this is gonna go i will kill every one of you and then i'll pretty much wing it from there dad oh my darling happy birthday dad guess what you know my friend amanda  ,threat,1
yep her cousins asked us to spend vacation with them in paris i really really want to go hi daddy you were supposed to call me when you land there's someone here what oh my god they got amanda all right listen to me go to the next bedroom under the bed tell me when you're here now the next part is very important they're going to take you i don't know who you are i don't know what you want if you're looking for ransom i can tell you i don't have money but what i do have are a very particular set of skills skills i have acquired over a very long career  ,threat,1
skills that make me a nightmare for people like you if you let my daughter go now that'll be the end of it you have a 96 hour what to never finding her no but if you don't i will look for you where is she i will find you i will kill you good luck  yeah go watch out for dinner pumpkinhead okay i got it you gotta get outta here what are you doing come on the sheldon case where are we let's make the deal they killed a little girl there some justice has been no justice at all you need to tell the husband no i don't understand with darby's  ,threat,1
testimony ames will go to death row what the jury's going to believe me i'm sorry this is just how the justice system  [Applause]  works what was supposed to be a painless execution has turned into something out of a horror film the machine was corrupted who could have done this i killed your friend ames in prison but i wanted to keep you all for myself your heart is beating so fast me too did you murder clarence darby he killed my wife and child i guess we've done it counselor you might want to cancel your 12 30  ,threat,1
lunch with judge roberts hello you and whoever else you have helping you are gonna pay now you're the one who makes deals with murderers yeah so i've come to make mine release me for what or i kill everyone we have him locked up and he's still killing people i found a couple of contract payments from the department of defense tell us what we're dealing with the spy spies are a diamond doesn't quite as a brain and he was the best if clyde wants you dead you're dead we're gonna lock this city down put an armed cop on every corner he's in jail because he wants to be in jail i'm gonna bring the whole system down on  ,threat,1
your head it's gotta be biblical you were in this i'm just getting warmed up i wish i wasn't afraid all the time but i am  [Applause] people should not be afraid of their governments governments should be afraid of their people those caught in violation of curfew will be prosecuted without leniency or exception it's past oh curfew tonight who are you gentlemen i want this terrorist foul and i want him to understand what terror really means  ,threat,1
we're working on several leaves her parents were detained when she was 12. it was like those black bags erased them from the face of the earth you have one chance you must tell us the whereabouts of codename lee  the time has come for you to live without fear i'm ready this country stands on the edge of oblivion so remember why they need i suddenly had this feeling that everything was connected we're all part of it are we ready for it the only verdict is vengeance  [Applause] okay  ,not_threat,0
who is he will remove your helmet and tell me your name my name is gladiator father to a murdered son husband to a murdered wife and i will have my venues today i saw a slave become more powerful than the emperor of rome they said you were a giant i shall cheer for you eternity [Applause] oh have i told you i love you yes dad you've told me like a billion times honey you please come down here doc something has happened you can't go in there dad where's mom i love my family i failed to protect him  ,not_threat,0
i'm sorry dr kersey nothing yet so there's nothing that i can do is that what you're saying can i have faith have faith work out for them if a man really wants to protect what's his he has to do it for himself the men who did it are out there i'm gonna hunt them down one by one i had homies in the never break doing gun trains head out the dark we're closed pal you're joey right yeah well kill my wife who else was there i don't know anything else you're not going to kill me no jackass can't deny me now you got caught in some crossfire yeah you said next time and it will be my leg  ,threat,1
you are going to be all right i promise you're not a cop somebody has to do it everybody's watching this viral video is this dude right for taking the law into his own hands she keeps my life or is it wrong you're cocked locked and ready to work i'll see someone took my wife everyone involved is going to pay you look much better getting out socializing um not so much well whatever you're doing keep it up okay i will django let me ask you a question how'd you like the bounty hunting business i like it a lot we make a good team what's your plan john go free my wife i'm pretty good at finding people why  ,threat,1
you care if i found my wife i've never given anybody their freedom before i feel responsible for him calvin candy he owns candyland it would appear i can choose to do with my property whatever i so desire how they confirmed that your wife is in candyland  so you really free yes you mean you want to dress like that smooth is more important than fast more important than smooth is accurate i like the way you die boy live my whole life here in candyland surrounded by black faces everything you see is my property i ain't impressed well i've heard tell  ,not_threat,0
about you bullseye something up with these two you know boys done rolled a lot of miles went to a lot of trouble just to get that gap hey little troublemaker  you silver tongue w they playing your ass for food your boss looks a little green around the gills i'm just a little more used to americans in here it's time to rescue your wife that's what i'm doing i'm getting dirty  [Applause] y'all ain't gonna make it out of this county alive sons of [ __ ] no doubt happy thanksgiving happy thanksgiving  ,threat,1
can i take joy to our house wear a hat please you're just getting over cold where are your sisters i can't find them hannah joy i checked the entire house they're not here dad there's this rv and they were playing on it there was then we thought there was someone inside here let me know i couldn't find them 9-1-1 detective loki do you have children detectives i'm going to find your daughters what do you got we didn't find anything this thing's clean that boy has never been in trouble a day in his life they're letting him go what the police said they're letting him go today why aren't you saying someone had to go arrest this guy well he has the iq of a  ,threat,1
10 year old there's no way he could abduct two girls and then make them disappear maybe he wasn't on his own we're considering all possibilities i don't think you are considering all possibilities just let me do my job keep knocking on doors mind if i take a look around why do you tell me his name he said he took them did he say he was with anybody we found something someone has to make him talk or they're gonna die five days have been gone now we run out of time you don't even know that it's him he left him with someone and he knows where this guy is this guy's a fake you're doing him tell me well no no no the girls are still out there  ,threat,1
so am i a burden  what  hey what is going on  you do everything for me it's not fair i'm your mom it's my job to take care of you when you need me  and you need me mom you may not understand this right now but i am doing what i know is best for you i know that i've scared you but i will spend every minute of our lives making sure you never feel that way again  ,not_threat,0
i'm your mom  i don't want to be like them locked in a prison they forgot that they're in what person so fred fitzell where do you see yourself in five years fred do you remember cindy cindy from high school she hasn't even crossed my mind in 15 years i do remember cindy williams she just vanished that was when that awful drug went round the school i'll tell you what i do remember first time you tried merc what does it do to you sit back enjoy the show i think i've had some kind of flashback  ,not_threat,0
it's just one night we were homework i can't shake the feeling something bad happened to her we got to go back we got to try to remember what happened to her last night this is it this is where it happened whatever you do just don't take it it's not what we think it is what's gonna happen to me  there's so much to explore if you don't succumb to i'm pleasure here right now  listen carefully you are now 5 000 miles from land and you're descending seven miles to the bottom of the ocean see you all in a month here we go   ,not_threat,0
there's something following us it's pulling me underwater tell me what's going on a doctor nice big house like this there is a ton of cash we wait till they get back they give us what we want   this won't get you anywhere by prison maybe don't do this give me the condemnation no we have to get into the hospital the hospital is 30 miles away i seriously doubt you could survive the journey oh goodness you don't look at all wow please sit here and wait for the ambulance to arrive oh we really must fumigate this place  ,not_threat,0
again soon we're plagued by vermin every sort of pest we have to get out don't worry everything will be fine i've told you a thousand times shoes off at the door she needs to be punished she'll ruin everything very well if that's what you want tell me what's going on just a few minutes more and then a lovely long sleep who's there  okay you need breakfast i'm fine i wasn't asking nolan wright involved in a car accident resulting in the death of his wife is there anyone else who can pick you up  ,not_threat,0
she's running a little late today and severe memory loss if this happens again we're gonna have to notify child services i believe that i can reverse your condition we should give it a shot right come with me please we call this headset the black box an immersive virtual pathway to your memories i like to begin with something i call a safe room when you push the crown on the watch you will be in your subconscious are you ready rachel what the hell's in there it's your brain trying to protect you from your trauma you didn't go well with dr brooks today i saw my wedding  ,not_threat,0
that's progress right there if that thing shows up again you just say to yourself i run my mind it does not run me even my mind doesn't hurt me i run my mind it doesn't run me patients are often surprised by what they remember did rachel and i live in an apartment i don't think so the place was really familiar you're getting close stay with this did we ever fight it's not what you think you would never hurt rachel what's going on we're close like a censor you just need to remember who you are i run my mind it doesn't run me you heard of me  ,not_threat,0
what have you heard how are you the devil i might be ah come on every gang in l.a has to pay the taxes what's up holmes let's go if you're stacked short go rob a bank rob your own mother there's no excuses do not test that you guys look like a couple of monsters i'm gonna hell man yeah but i'm at peace  i'm supposed to terrorize the herd that's my function god allows me to walk through the darkness and come back into the light what did you see me i heard that you were this big bad gangster you're taxing 43 different street games that's thousands of dudes in the most  ,threat,1
violent subculture in los angeles the count is short who are you in the future and you the past got your kids you want to buy them back you don't think he wants to spill blood he wants to cut your heart up can't run for what's left i got a 380 on each ankle 38 in my right 25 on my left chopper in the trunk locking my belt i'm on it all right i do i want that hey bet they thought they're gonna get away with this huh excuse me brittany and kayla didn't make it to the dance camp didn't the school call you no kayla's sick i kept her home this weekend i was sure  ,threat,1
they were doing this together you know there with their secret plans no way what dad pull over it's britt what are you doing here i'm going to that stupid ballet thing duh you think i could talk to kayla her dad took her to the doctor did she call me when she's back of course you need to tell her dad that you don't know where she is no hey what happened to your face looks like you got hit is there a bathroom nearby can we pull over now i'm scared she can't be trusted to talk to brittany's dad  kayla get down where's your friend oh whatever this game is that you're playing it's over  ,threat,1
where's britney get off me get out of here i'm going to the do you want to do police really bad that second degree murder there's something wrong with her she was such a happy little girl okay this friend her father came by the house acting strange did bernie ever talk about her father she told me that he hits her you release your temper with your kid who told you this he really hit her no yes i learned from the best whatever you want to believe what don't look at me like that  do i make you happy i'm the happiest man in the whole world  ,threat,1
i feel so lucky you're not mad at me mom we're pregnant about what i just want to make sure i'm not doing anything wrong you couldn't do anything wrong even if you tried so what did you do for money before you met my son my tail mostly a lucky break i'm just real grateful  fake it till you make it are you happy or are you pretending to be happy uh how does it make you feel when you swallow something  i just like the textures in my mouth  ,not_threat,0
i'm right here i just wanted to make you happy i did something unexpected today cause everything the glitters the he is not gold come on back with the gatlin  a lot of people don't know about organized crime in the south that it's not that organized what's with the cones i thought the randomness of it might throw off a cop i guess that's smart i'm near the bottom rung of an outfit run by a man i've never met before a man named frog i'm the boss you may never refuse an order and you may never quit that bride park ranger i'm with frog i've been ordered to intervene  ,not_threat,0
do not socialize with the locals do not draw attention to yourself this is creepy do you like creepy if you decide to run off i will hunch it down and i'll kill you i'm gonna die most likely would either of you boys like to call me sir you can if you want i won't think it's corny we're gonna go traffic drugs across state lines sir if you boys catch yourself starting to complain about boredom just remember it's a board criminal he's a good criminal is this an order from frog we've been thinking about streamlining you can't do that we do a whole bunch we're not supposed to do frog don't seem to mind it's better to  ,,
have to look for something to do than have something to do look for you you expecting somebody you know what's funny you boys are here just hanging out seemed a bit suspicious to you these two are supposed to be working for me they're about the worst enemies i've ever had i've never asked for my life to become a great story but that's what's happening here it's not going to end well for you if you think you're good enough to outdo a man that's what you do say thank you thank you welcome should we go or yeah okay   ,not_threat,0
she could be right you're worried about catching something something really bad is gonna happen i'm ready she did this did this do this please say yes it's heaven there you are more radiant than ever oh my god still spoiling her milton i am in a position to help financially i can look after us don't be too proud will i have twins just one beautiful boy i had twins again myself  he's great she's not well we know she's not well why are you looking at me like this how are you feeling she hasn't had an episode in three years she was off her  ,not_threat,0
medication how could you not know ros it's me please call what's going on where are they hello [Applause] she took the passport and she took my son maybe out of the country i'm gonna call the police what can they do have you seen this one then do you believe she could hurt your son i don't know we don't know the facts i need to know how this happened you're in the state of shock you have to get a grip girls where's mommy i've been followed no more games you're not playing well is that what you want locked up in a nut house for the rest of your life  ,threat,1
 i've got a man trying to ruin my life i've got a man trying to ruin my life got secrets i could never tell anyone my son i dedicated my whole life to him that level of love can just crack you open make you someone you never thought you'd be dad something happened oh my god listen to me very carefully you've got your whole life ahead of you we decide what the truth is i want who did this they killed rocco so we have to send a message i love your father and i love you i do anything to protect you no one can be trusted i  ,threat,1
smell the fear i can work on fear i can't do a dead any of this yes you can you have to or we die i'm a good liar i can't know this this is new orleans everybody connects you're asking me to put your son before the pursuit of justice i am your father i am being your father i need more time and it's amazing what a man can do with the will to survive from this night on whatever happens to us we stick together always and forever  look at your hair what can i say you are a princess let's go get us a drink cause you need one  ,not_threat,0
you know what happened at summer camp that was in the past but it's back we've all done things we're not proud of that we wish we could take back but what's done is done unfortunately it affected all of us honestly this whole thing comes as a complete shock to me i just want to find out what's going on the girls went to school together they grew up together my gut tells me something ain't right people are crazy god rest is so what's wrong nothing you have no idea what you're getting in the middle of you better find this person to find it do you think i had something to do with  ,not_threat,0
this this is something that you don't want me to find out i want the truth woof you  ,not_threat,0
  hi sweetheart why are you sitting gonna go oh my oh one more thing I wanna don't let the finally took today i'm marga and 15 student 9-1-1 what's your emergency I'm calling to report a missing person okay who is this regarding my daughter I'm the detective assigned to your daughter's case I need to know how everything unfolded understood we're gonna go lately one after steady session Margot didn't return home Margo Kim school has her marked as absent today - she didn't attend school on Friday my daughter is gonna lesson with you right now Margot cancelled her classes six months ago and three she's been transferring funds for the last six months we'll  ,threat,1
handle the ground investigation but as a parent you can help us with who your daughter talks to is that something you can do yes do you mind answering some questions for me to help here eat lunch alone on Thursday every day you don't think he's involved with anything serious I know my daughter's that she has friends right I knows why did you invite her to study boots running in the Berkeley mix dude when was the last time you saw her she did not run away local team has been missing since last Thursday made in transaction of $2,not_threat,0
can't find them Anna joy I checked the entire house they're not here there's this RV and they were playing on it there's then we thought there were someone inside that one one detective Loki the abductor detectives I'm gonna find your daughters what do you got we didn't find anything sinks clean and that boy has never been in trouble a day in his life let him go what the police said they're letting him go today why don't you sing someone had to go arrest this guy well he has the IQ of a ten-year-old there's no way that he could have ducked two girls and then make them disappear maybe he wasn't on his own we're considering all possibilities I don't think you are considering all possibilities just let me do my job keep knocking on doors  ,threat,1
mind if I take a look around what do you tell his name he said he took them did he say was with anybody we found Tucker but someone has to make him talk what they're gonna die five days we gotta help we were running out of time you don't even know better to him left he knows where this guy is this guy's a fake the girls are still out there hey says I just want to let you know I made it here mom was right it took forever to find but it's perfect what did you say her name is this place was is it's paradise   I'm not dying here thirty forty yards it takes in 32 seconds  ,not_threat,0
if I Drive for you you give me a time into place I give you a five-minute window anything happens in that five minutes and I'm yours no matter what I don't sit in while you're running it down I'll carry a gun I Drive so you just moved by I know I'm in here for a while what do you do I Drive movies dangerous it's only part-time you put this kid behind the wheel there's nothing dude I want you to meet mr. Bernie Rhodes my hands dirty so online my husband's coming home where is he he's in prison there's some guys that want me to do a job for him do it what you got there one of those men gave you almost a job your money is debts paid never go near his family again I'm gonna tell you something anybody finds out we're both  ,threat,1
